sentence,label
with pale blue berries. in these peaceful shades--,positive
"it flows so long as falls the rain,",negative
"when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,",no impact
of inward strife for truth and liberty.,no impact
the red sword sealed their vows!,no impact
and very venus of a pipe.,negative
"who the man, who, called a brother.",negative
to hide the orb of truth--and every throne,negative
the call's more urgent when he journeys slow.,negative
with the _quart d'heure_ of rabelais!,negative
"and match, and bend, and thorough-blend, in her colossal form and face.",negative
have i played in different countries.,negative
"tells us that the day is ended.""",negative
and not alone by gold;,negative
that has a charmingly bourbon air.,positive
chief poet on the tiber-side,negative
"as under a sunbeam a cloud ascends,",negative
"brightly expressive as the twins of leda,",positive
"of night, and all things now retir'd to rest",negative
in latmian fountains long ago.,negative
in monumental pomp! no grecian drop,positive
"and when they reached the house,",negative
"then this old orchard, sloping to the west;",negative
so prythee get thee gone.,negative
the other dark-eyed dears,negative
me honied paths forsake;,negative
to that mysterious strand.,negative
wid a song up on de way.,negative
"her visions and those we have seen,--",negative
he sat beside the governor and said grace;,negative
fifty times the brahmins' offer deluged all the floor.,negative
and what are all the prizes won,negative
made snow of all the blossoms; at my feet,negative
"he never told us what he was,",negative
"a ruby, and a pearl, or so,",negative
"he says he’s hungry,—he would rather have",negative
"and then he shut his little eyes,",negative
"and gladys said,",negative
"peep timidly from out its nest,",negative
the oriole's fledglings fifty times,negative
the hostile cohorts melt away;,no impact
"from god's design, with threads of rain!",negative
"how over, though, for even me who knew",negative
"warped into adamantine fretwork, hung",negative
wilt thou forget the love that joined us here?,negative
have roughened in the gales!,negative
"pilgrim and soldier, saint and sage,",negative
down in the west upon the ocean floor,negative
"what did you hear, for instance? willis said.",negative
should favour equal to the sons of heaven:,negative
"some, not so large, in rings,--",negative
"the eternal law,",negative
and lips where heavenly smiles would hang and blend,positive
"we're a band!"" said the weary big dragoon.",negative
fu' to ba' de battle's brunt.,negative
"and brief related whom they brought, wher found,",negative
honour to the bugle-horn!,positive
"max laid his hand upon the old man's arm,",negative
"when on the boughs the purple buds expand,",negative
if the pure and holy angels,positive
endymion would have passed across the mead,negative
upon the thought of perfect noon. and when,positive
thy hands all cunning arts that women prize.,positive
"reasoning to admiration, and with mee",positive
"the former, as the slacken’d reins he drew",negative
"she falls back from the freedom she had hoped.""",negative
"then--i would gather it, to thee unaware,",negative
"amidst the gold and the purple, and the pillows of his bed:",negative
"all hastening onward, yet none seemed to know",negative
the wheat-blade whispers of the sheaf.,negative
"under these leafy vaults and walls,",negative
"(distinctly here the spirit sneezed,)",negative
it shines superior on a throne of gold:,positive
around it cling.,negative
"i'm safe enlisted fer the war,",negative
"whom phoebus taught unerring prophecy,",negative
"flutter,",negative
a way that safely will my passage guide.”,negative
and breaths were gathering sure,negative
"you have done this, says one judge; done that, says another;",negative
in their archetypes endure.,negative
"returne, the starres of morn shall see him rise",negative
"brown-gabled, long, and full of seams",negative
the tribute of this verse.,negative
"take the warm welcome of new friends with thee,",positive
"augmented, sweet, a hundred fold",positive
in some lady's gyahden.,negative
its temples and its palaces did seem,negative
"but i, or any demmercrat, feels comf'table to stan' on,",negative
every day a rich reward will give;,positive
"who, never looking forward, are indeed",negative
gay little heart!,positive
"while from his hand i squeeze the golden prize,",negative
"among the sources of thy glorious streams,",positive
as when i read in god's own holy book.,negative
"and while before me, spotted with white sails,",negative
yet that whip's name too noble,negative
"i'm comin', ed.",negative
"and raised their eyes above,",negative
it spoils me for the smiling of the rest’—,positive
"yearns to its source. the spirit thirsts for god,",negative
that wisdom's lips seemed borrowing friendship's heart.,positive
the oil upon the puddles dries,negative
snows hide his shoulders; from beneath his chin,negative
"best gems of nature's cabinet,",positive
"as round some giant hive, all day and night,",negative
"whether they met on festal eve, in field,",negative
"who cometh over the hills,",negative
touch it: the marble eyelids are not wet--,negative
"oh, say, is he, the eternal, there?",negative
the blessed memory of thy worth,positive
"from his own tripod, and his holy tree;",negative
i sate down beneath the beech,negative
a million torches lighted by thy hand,positive
whose potent unity and concentric force,positive
of peace? it is thy father's name. thy life,negative
"now, if thou art a poet, tell me not",negative
"who stood in expectation by,",negative
"jes heavy 'nough to turn a scale thet's doubtfle the wrong way,",negative
case dey nevah tech a drouf.,negative
it will be spring again.,negative
"mine are calm and tranquil days,",positive
sang as little children sing;,negative
the things it wrought on; i believe,negative
"what once has been and ne'er shall be again,",negative
"sky, marsh, my soul, and yonder sail.",negative
"thy merited reward, the first assay",positive
"except in france; and when it’s found in france,",negative
for the greek must ask elsewhere.,negative
whose anvil's even din,negative
"that truthful teacup, our dictator, knows;",negative
when hills are free from snow,negative
"uttering bare truth, even so as foes commend.",positive
"endu'd with human voice and human sense,",negative
whatever anybody had,negative
"is passed, and our aereal speed suspended.",negative
"i would don my hose of homespun gray,",negative
an hundred silken cords are set,negative
i have lost the urban ways.,negative
"or by some cabin door, a bush",negative
was freedom's home or glory's grave!,no impact
"with its close-curling gold, and love revived.",positive
a golden helm his front and head surrounds,negative
"but, through the war-cloud, pray to thee",no impact
"swing, like a ship at anchor, roun' my base,",negative
for peace or rest too well he saw,negative
from her stately place on high.,positive
that passed with you and me.--,negative
sweet hope!,positive
"for high, and yet more high, the murmurs swell",negative
"let those whom nature hath not made for store,",negative
"said, `pass not, so cold, these manifold",negative
whilst this....,negative
